	fi	x	y	x*	y*						a-5	b-4	r-4
0	0	9	4	8,906	4,037							
1	10	8,939231012	4,694592711	8,872231012	4,732592711									
2	20	8,758770483	5,368080573	8,850770483	5,347080573									
3	30	8,464101615	6	8,521101615	6,075									
4	40	8,064177772	6,571150439	8,049177772	6,597150439									
5	50	7,571150439	7,064177772	7,504150439	7,121177772									
6	60	7	7,464101615	7,032	7,521101615									
7	70	6,368080573	7,758770483	6,411080573	7,667770483									
8	80	5,694592711	7,939231012	5,769592711	7,926231012									
9	90	5	8	4,934	7,961									
10	100	4,305407289	7,939231012	4,281407289	7,907231012									
11	110	3,631919427	7,758770483	3,696919427	7,733770483									
12	120	3	7,464101615	3,07	7,437101615									
13	130	2,428849561	7,064177772	2,343849561	7,041177772									
14	140	1,935822228	6,571150439	2,032822228	6,630150439									
15	150	1,535898385	6	1,537898385	5,977									
16	160	1,241229517	5,368080573	1,287229517	5,273080573									
17	170	1,060768988	4,694592711	0,960768988	4,711592711									
18	180	1	4	0,953	3,959									
19	190	1,060768988	3,305407289	1,071768988	3,253407289									
20	200	1,241229517	2,631919427	1,304229517	2,681919427									
21	210	1,535898385	2	1,467898385	2,06									
22	220	1,935822228	1,428849561	2,006822228	1,342849561									
23	230	2,428849561	0,935822228	2,400849561	0,889822228									
24	240	3	0,535898385	2,921	0,594898385									
25	250	3,631919427	0,241229517	3,694919427	0,267229517									
26	260	4,305407289	0,060768988	4,288407289	-0,032231012									
27	270	5	0	5,043	0,098									
28	280	5,694592711	0,060768988	5,693592711	-0,000231012									
29	290	6,368080573	0,241229517	6,437080573	0,254229517									
30	300	7	0,535898385	7,08	0,519898385									
31	310	7,571150439	0,935822228	7,486150439	0,976822228									
32	320	8,064177772	1,428849561	8,125177772	1,357849561									
33	330	8,464101615	2	8,558101615	2,095									
34	340	8,758770483	2,631919427	8,748770483	2,607919427									
35	350	8,939231012	3,305407289	8,843231012	3,218407289									
